URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип оборудования
https://001.com.ua/dopolnitelnyy-kontakt-zb2-be101-no-dlya-knopok-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-dopolnitelnyy-kontakt-zb2-be101-post-photo.jpg,"Дополнительный контакт ZB2-BE101 (НО) для кнопок, АСКО-УКРЕМ","Аксессуары к индикаторам, кнопкам управления и переключателям",АСКО-УКРЕМ,A0140010025,A0140010025,instock,1,12,"23,56","Дополнительный контакт ZB2-BE101 (НО) для кнопок, АСКО-УКРЕМ",<h2>Описание товара</h2><p>Используется для увеличения количества контактов кнопок и переключателей серии XB2 АСКО-УКРЕМ.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>дополнительный контакт</td></tr></tbody></table>,"Додатковий контакт ZB2-BE101 (НО) для кнопок, АСКО-УКРЕМ",<h2>Опис товару</h2><p>Використовується для збільшення кількості контактів кнопок і перемикачів серії XB2 АСКО-УКРЕМ.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>додатковий контакт</td></tr></tbody></table>,Русский ~ Дополнительный контакт
https://001.com.ua/derzhatel-markirovochnoy-birki-dlya-knopok-i-pereklyuchateley-empty-22-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-derzhatel-markirovochnoy-birki-photo.jpg ;; https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-derzhatel-markirovochnoy-birki-2-photo.jpg,"Держатель маркировочной бирки для кнопок и переключателей ∅22 мм, АСКО-УКРЕМ","Аксессуары к индикаторам, кнопкам управления и переключателям",АСКО-УКРЕМ,A0140010072,A0140010072,instock,1,12,"6,7","Держатель маркировочной бирки для кнопок и переключателей ∅22 мм, АСКО-УКРЕМ",<h2>Описание товара</h2><p>Используется для маркировки кнопок и переключателей под монтажное отверстие диаметром 22 мм.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>держатель маркировки</td></tr></tbody></table>,"Тримач маркувальної бирки для кнопок і перемикачів ∅22 мм, АСКО-УКРЕМ",<h2>Опис товару</h2><p>Використовується для маркування кнопок і перемикачів під монтажний отвір діаметром 22 мм.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>тримач маркування</td></tr></tbody></table>,Русский ~ Держатель маркировки
https://001.com.ua/dopolnitelnyy-kontakt-zb2-be102-nz-dlya-knopok-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-dopolnitelnyy-kontakt-zb2-be102-photo.jpg,"Дополнительный контакт ZB2-BE102 (НЗ) для кнопок, АСКО-УКРЕМ","Аксессуары к индикаторам, кнопкам управления и переключателям",АСКО-УКРЕМ,A0140010026,A0140010026,instock,1,12,"23,56","Дополнительный контакт ZB2-BE102 (НЗ) для кнопок, АСКО-УКРЕМ",<h2>Описание товара</h2><p>Используется для увеличения количества контактов кнопок и переключателей серии XB2 АСКО-УКРЕМ.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>дополнительный контакт</td></tr></tbody></table>,"Додатковий контакт ZB2-BE102 (НЗ) для кнопок, АСКО-УКРЕМ",<h2>Опис товару</h2><p>Використовується для збільшення кількості контактів кнопок і перемикачів серії XB2 АСКО-УКРЕМ.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>додатковий контакт</td></tr></tbody></table>,Русский ~ Дополнительный контакт
https://001.com.ua/kolpachok-zaschitnyy-silikonovyy-dlya-knopok-xb2-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-zaschitnyy-kolpachok-photo.jpg ;; https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-zaschitnyy-kolpachok-2-photo.jpg,"Колпачок защитный силиконовый для кнопок XB2, АСКО-УКРЕМ","Аксессуары к индикаторам, кнопкам управления и переключателям",АСКО-УКРЕМ,A0140010074,A0140010074,instock,1,12,"15,28","Колпачок защитный силиконовый для кнопок XB2, АСКО-УКРЕМ",<h2>Описание товара</h2><p>Используется для защиты кнопок и переключателей АСКО-УКРЕМ серии XB2.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>защитный колпачок</td></tr></tbody></table>,"Ковпачок захисний силіконовий для кнопок XB2, АСКО-УКРЕМ",<h2>Опис товару</h2><p>Використовується для захисту кнопок і перемикачів АСКО-УКРЕМ серії XB2.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>захисний ковпачок</td></tr></tbody></table>,Русский ~ Защитный колпачок
https://001.com.ua/birka-markirovochnaya-emergency-stop-zheltaya-dlya-knopok-empty-22-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-markirovochnaya-birka-emergency-stop-y-photo.jpg ;; https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-markirovochnaya-birka-emergency-stop-y-2-photo.jpg,"Бирка маркировочная «EMERGENCY STOP» желтая для кнопок ∅22 мм, АСКО-УКРЕМ","Аксессуары к индикаторам, кнопкам управления и переключателям",АСКО-УКРЕМ,A0140010073,A0140010073,instock,1,12,"14,57","Бирка маркировочная «EMERGENCY STOP» желтая для кнопок ∅22 мм, АСКО-УКРЕМ",<h2>Описание товара</h2><p>Используется для маркировки кнопок под монтажное отверстие диаметром 22 мм.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>маркировочная бирка</td></tr></tbody></table>,"Бирка маркувальна «EMERGENCY STOP» жовта для кнопок ∅22 мм, АСКО-УКРЕМ",<h2>Опис товару</h2><p>Використовується для маркування кнопок під монтажний отвір діаметром 22 мм.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>маркувальна бирка</td></tr></tbody></table>,Русский ~ Маркировочная бирка
https://001.com.ua/kontaktnyy-blok-1r-1nz-dlya-serii-lay5-iek,new,,,https://001.com.ua/media/photos/iek/controls/iek-kontaktnyy-blok-1r-1nz-dlya-serii-lay5-photo.jpg,"Контактный блок 1р (1НЗ) для серии LAY5, IEK","Аксессуары к индикаторам, кнопкам управления и переключателям",IEK,BDK11,BDK11,instock,1,12,"36,57","Контактный блок 1р (1НЗ) для серии LAY5, IEK",<h2>Описание товара</h2><p>Предназначен для расширения контактной группы изделий серии LAY5.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>дополнительный контакт</td></tr></tbody></table>,"Контактний блок 1р (1НЗ) для серії LAY5, IEK",<h2>Опис товару</h2><p>Призначений для розширення контактної групи виробів серії LAY5.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>додатковий контакт</td></tr></tbody></table>,Русский ~ Дополнительный контакт
https://001.com.ua/dopolnitelnyy-kontakt-zbe-101-no-dlya-knopok-tb5-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-dopolnitelnyy-kontakt-zbe-101-photo.jpg,"Дополнительный контакт ZBE-101 (НО) для кнопок TB5, АСКО-УКРЕМ","Аксессуары к индикаторам, кнопкам управления и переключателям",АСКО-УКРЕМ,A0140010180,A0140010180,instock,1,12,"30,64","Дополнительный контакт ZBE-101 (НО) для кнопок TB5, АСКО-УКРЕМ",<h2>Описание товара</h2><p>Используется для увеличения количества контактов кнопок и переключателей серии TB5 АСКО-УКРЕМ.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>дополнительный контакт</td></tr></tbody></table>,"Додатковий контакт ZBE-101 (НО) для кнопок TB5, АСКО-УКРЕМ",<h2>Опис товару</h2><p>Використовується для збільшення кількості контактів кнопок і перемикачів серії TB5 АСКО-УКРЕМ.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>додатковий контакт</td></tr></tbody></table>,Русский ~ Дополнительный контакт
https://001.com.ua/birka-markirovochnaya-start-dlya-knopok-empty-22-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-markirovochnaya-birka-start-photo.jpg ;; https://001.com.ua/media/photos/no-photo-photo.jpg,"Бирка маркировочная «START» для кнопок ∅22 мм, АСКО-УКРЕМ","Аксессуары к индикаторам, кнопкам управления и переключателям",АСКО-УКРЕМ,A0140010068,A0140010068,instock,1,12,"4,26","Бирка маркировочная «START» для кнопок ∅22 мм, АСКО-УКРЕМ",<h2>Описание товара</h2><p>Используется для маркировки кнопок под монтажное отверстие диаметром 22 мм.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>маркировочная бирка</td></tr></tbody></table>,"Бирка маркувальна «START» для кнопок ∅22 мм, АСКО-УКРЕМ",<h2>Опис товару</h2><p>Використовується для маркування кнопок під монтажний отвір діаметром 22 мм.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>маркувальна бирка</td></tr></tbody></table>,Русский ~ Маркировочная бирка
https://001.com.ua/birka-markirovochnaya-stop-chernaya-dlya-knopok-empty-22-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-markirovochnaya-birka-stop-photo.jpg ;; https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-markirovochnaya-birka-stop-2-photo.jpg,"Бирка маркировочная «STOP» черная для кнопок ∅22 мм, АСКО-УКРЕМ","Аксессуары к индикаторам, кнопкам управления и переключателям",АСКО-УКРЕМ,A0140010070,A0140010070,instock,1,12,"4,26","Бирка маркировочная «STOP» черная для кнопок ∅22 мм, АСКО-УКРЕМ",<h2>Описание товара</h2><p>Используется для маркировки кнопок под монтажное отверстие диаметром 22 мм.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>маркировочная бирка</td></tr></tbody></table>,"Бирка маркувальна «STOP» чорна для кнопок ∅22 мм, АСКО-УКРЕМ",<h2>Опис товару</h2><p>Використовується для маркування кнопок під монтажний отвір діаметром 22 мм.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>маркувальна бирка</td></tr></tbody></table>,Русский ~ Маркировочная бирка
https://001.com.ua/dopolnitelnyy-kontakt-zbe-102-nz-dlya-knopok-tb5-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/buttons-aux/asko-ukrem-dopolnitelnyy-kontakt-zbe-102-photo.jpg,"Дополнительный контакт ZBE-102 (НЗ) для кнопок TB5, АСКО-УКРЕМ","Аксессуары к индикаторам, кнопкам управления и переключателям",АСКО-УКРЕМ,A0140010181,A0140010181,instock,1,12,"30,64","Дополнительный контакт ZBE-102 (НЗ) для кнопок TB5, АСКО-УКРЕМ",<h2>Описание товара</h2><p>Используется для увеличения количества контактов кнопок и переключателей серии TB5 АСКО-УКРЕМ.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>дополнительный контакт</td></tr></tbody></table>,"Додатковий контакт ZBE-102 (НЗ) для кнопок TB5, АСКО-УКРЕМ",<h2>Опис товару</h2><p>Використовується для збільшення кількості контактів кнопок і перемикачів серії TB5 АСКО-УКРЕМ.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>додатковий контакт</td></tr></tbody></table>,Русский ~ Дополнительный контакт
